ID;Designator;Qty;im Warenkorb;Manufacturer;MfG Part #; Description / Value;Footprint;Type;Note;Anbieter und Referenz
1;R7,R16,R5,R15,R8,R6,R4;7;OK;;47 kohm, ± 1%, 125 mW, 0805 [Metrisch 2012];47 kohm, ± 1%, 125 mW, 0805 [Metrisch 2012];R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;;;
2;C10,C6;2;OK;Vishay;VJ0805A470GXXCW1BC;47p  1% C0G;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;;Mouser 77-VJ0805A470GXXCBC
3;SW3;1;OK;Panasonic;EVQ-PUJ02K;DFU;SW_EVQPUJ_4P7X3P5_PAN;;;
4;C19,C29,C26,C11,C27,C31,C24;7;OK, vorhanden;;;100n C0G;C_1206_3216Metric_Pad1.33x1.80mm_HandSolder;;;
5;J1;1;OK;Molex;5033981892;503398-1892;MOLEX_503398-1892;;;Digikey WM11190CT-ND
6;U6;1;OK;Texas Instruments;OPA2376AIDGKT;OPA2376AIDGKT;SOP65P488X118-8N;;;Mouser 595-OPA2376AIDGKT
7;C22,C5,C25;3;OK;Kyocera AVX;F921A106MPA;10u tant;CP_EIA-2012-12_Kemet-R;;;Digikey 478-11412-1-ND
8;C17,C7,C15,C20;4;OK;Murata;GCM21B5C1H223FA16L;22n  1% C0G;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;;Mouser 81-GCM21B5C1H223FA6L
9;R21,R2,R23,R3;4;OK;;10 kohm, ± 1%, 125 mW, 0805 [Metrisch 2012];10 kohm, ± 1%, 125 mW, 0805 [Metrisch 2012];R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;;;
10;C14,C16;2;OK;Kyocera;08053A2R0CAT2A;2p C0G;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;;;Mouser 77-VJ0805A470GXXCBC
11;BT1;1;OK;;;Battery holder MP000326;MP000326 battery holder;;;Farnell 3126562
12;Y1;1;OK;ECS;ECS-.327-7-1210-TR;ECS-.327-7-1210-TR;XTAL_ECS-.327-7-1210-TR;;;
13;Y2;1;OK;Murata;CSTNE16M0VH3L000R0;CSTNE16M0VH3L000R0;Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm;;;
